Experiment,DateTime,Hs,D50,h,Λ,λ,λp,reset2
WQS1409,2014-09-03T02:00:00.0,0.8,0.00066,8.56759846,28.295472010746227,0.451831498,0.398562824,false
WQS1409,2014-09-03T03:00:00.0,0.8,0.00066,8.56759846,28.295472010746227,0.449625023,0.398562824,false
WQS1409,2014-09-03T04:00:00.0,0.71,0.00066,8.56759846,22.28710537596433,0.447975733,0.398562824,false
WQS1409,2014-09-03T05:00:00.0,0.77,0.00066,8.56759846,26.213102117455367,0.448855272,0.398562824,false
WQS1409,2014-09-03T06:00:00.0,0.75,0.00066,8.56759846,24.869067196944922,0.446675922,0.398562824,false
WQS1409,2014-09-03T07:00:00.0,0.74,0.00066,8.56759846,24.210313239194736,0.44344064,0.398562824,false
WQS1409,2014-09-03T08:00:00.0,0.85,0.00066,8.56759846,31.942935199631474,0.44396863,0.398562824,false
WQS1409,2014-09-03T09:00:00.0,0.87,0.00066,8.56759846,33.46381682020909,0.445121936,0.398562824,false
WQS1409,2014-09-03T10:00:00.0,0.95,0.00066,8.56759846,39.90103670265385,0.442836151,0.398562824,false
WQS1409,2014-09-03T11:00:00.0,0.92,0.00066,8.56759846,37.42076173421188,0.440838113,0.398562824,false
WQS1409,2014-09-03T12:00:00.0,0.87,0.00066,8.56759846,33.46381682020909,0.440429451,0.398562824,false
WQS1409,2014-09-03T13:00:00.0,0.88,0.00066,8.56759846,34.23752113300293,0.43552436,0.398562824,false
WQS1409,2014-09-03T14:00:00.0,0.81,0.00066,8.56759846,29.007279978516564,0.430221102,0.398562824,false
WQS1409,2014-09-03T15:00:00.0,0.81,0.00066,8.56759846,29.007279978516564,0.428650365,0.398562824,false
WQS1409,2014-09-03T16:00:00.0,0.78,0.00066,8.56759846,26.89838308021563,0.422954525,0.398562824,false
WQS1409,2014-09-03T17:00:00.0,0.73,0.00066,8.56759846,23.560401616447905,0.421715749,0.398562824,false
WQS1409,2014-09-03T18:00:00.0,0.89,0.00066,8.56759846,35.02006778080013,0.420209472,0.398562824,false
WQS1409,2014-09-03T19:00:00.0,0.79,0.00066,8.56759846,27.59250637797925,0.415353168,0.398562824,false
WQS1409,2014-09-03T20:00:00.0,0.76,0.00066,8.56759846,25.536663489698466,0.409777091,0.398562824,false
WQS1409,2014-09-03T21:00:00.0,0.72,0.00066,8.56759846,22.91933232870444,0.407340575,0.398562824,false
WQS1409,2014-09-03T22:00:00.0,0.6,0.00066,8.56759846,15.91620300604475,0.406115457,0.398562824,false
WQS1409,2014-09-03T23:00:00.0,0.65,0.00066,8.56759846,18.679432694594187,0.401862096,0.398562824,false
WQS1409,2014-09-04T00:00:00.0,0.54,0.00066,8.56759846,12.892124434896248,0.402134162,0.398562824,false
WQS1409,2014-09-04T01:00:00.0,0.56,0.00066,8.56759846,13.86478128526565,0.399798671,0.398562824,false
WQS1409,2014-09-04T02:00:00.0,0.62,0.00066,8.56759846,16.99496787645445,0.402903417,0.398562824,false
WQS1409,2014-09-04T03:00:00.0,0.52,0.00066,8.56759846,11.954836924540281,0.402454826,0.398562824,false
WQS1409,2014-09-04T04:00:00.0,0.52,0.00066,8.56759846,11.954836924540281,0.402491783,0.398562824,false
WQS1409,2014-09-04T05:00:00.0,0.63,0.00066,8.56759846,17.54761381416434,0.402565159,0.398562824,false
WQS1409,2014-09-04T06:00:00.0,0.56,0.00066,8.56759846,13.86478128526565,0.401725195,0.398562824,false
WQS1409,2014-09-04T07:00:00.0,0.58,0.00066,8.56759846,14.872807475648482,0.398588894,0.398562824,false
WQS1409,2014-09-04T08:00:00.0,0.58,0.00066,8.56759846,14.872807475648482,0.397080556,0.398562824,false
WQS1409,2014-09-04T09:00:00.0,0.59,0.00066,8.56759846,15.390084073344935,0.400824647,0.398562824,false
WQS1409,2014-09-04T10:00:00.0,0.46,0.00066,8.56759846,9.35519043355297,0.399146362,0.398562824,false
WQS1409,2014-09-04T11:00:00.0,0.57,0.00066,8.56759846,14.364373212955385,0.399727075,0.398562824,false
WQS1409,2014-09-04T12:00:00.0,0.47,0.00066,8.56759846,9.766359011209126,0.400467755,0.398562824,false
WQS1409,2014-09-04T13:00:00.0,0.5,0.00066,8.56759846,11.052918754197743,0.40116474,0.398562824,false
WQS1409,2014-09-04T14:00:00.0,0.55,0.00066,8.56759846,13.37403169257927,0.402596746,0.398562824,false
WQS1409,2014-09-04T15:00:00.0,0.45,0.00066,8.56759846,8.952864190900172,0.400658948,0.398562824,false
WQS1409,2014-09-04T16:00:00.0,0.45,0.00066,8.56759846,8.952864190900172,0.398700441,0.398562824,false
WQS1409,2014-09-04T17:00:00.0,0.55,0.00066,8.56759846,13.37403169257927,0.395119949,0.398562824,false
WQS1409,2014-09-04T18:00:00.0,0.5,0.00066,8.56759846,11.052918754197743,0.392566248,0.398562824,false
WQS1409,2014-09-04T19:00:00.0,0.54,0.00066,8.56759846,12.892124434896248,0.392378092,0.398562824,false
WQS1409,2014-09-04T20:00:00.0,0.51,0.00066,8.56759846,11.499456671867332,0.394813337,0.398562824,false
WQS1409,2014-09-04T21:00:00.0,0.53,0.00066,8.56759846,12.419059512216586,0.397346693,0.398562824,false
WQS1409,2014-09-04T22:00:00.0,0.55,0.00066,8.56759846,13.37403169257927,0.398835907,0.398562824,false
WQS1409,2014-09-04T23:00:00.0,0.64,0.00066,8.56759846,18.109102086877584,0.398436454,0.398562824,false
WQS1409,2014-09-05T00:00:00.0,0.67,0.00066,8.56759846,19.84662091503747,0.402342625,0.398562824,false
WQS1409,2014-09-05T01:00:00.0,0.51,0.00066,8.56759846,11.499456671867332,0.401040836,0.398562824,false
WQS1409,2014-09-05T02:00:00.0,0.59,0.00066,8.56759846,15.390084073344935,0.400395324,0.398562824,false
WQS1409,2014-09-05T03:00:00.0,0.47,0.00066,8.56759846,9.766359011209126,0.396619672,0.398562824,false
WQS1409,2014-09-05T04:00:00.0,0.52,0.00066,8.56759846,11.954836924540281,0.396491665,0.398562824,false
WQS1409,2014-09-05T05:00:00.0,0.45,0.00066,8.56759846,8.952864190900172,0.397291436,0.398562824,false
WQS1409,2014-09-05T06:00:00.0,0.53,0.00066,8.56759846,12.419059512216586,0.397510363,0.398562824,false
WQS1409,2014-09-05T07:00:00.0,0.4,0.00066,8.56759846,7.073868002686557,0.399876511,0.398562824,false
WQS1409,2014-09-05T08:00:00.0,0.49,0.00066,8.56759846,10.615223171531511,0.398174451,0.398562824,false
WQS1409,2014-09-05T09:00:00.0,0.53,0.00066,8.56759846,12.419059512216586,0.398562824,0.398562824,false
WQS1409,2014-09-05T10:00:00.0,0.52,0.00066,8.56759846,11.954836924540281,0.39438692,0.398562824,false
WQS1409,2014-09-05T11:00:00.0,0.42,0.00066,8.56759846,7.798939472961926,0.398305617,0.398562824,false
WQS1409,2014-09-05T12:00:00.0,0.52,0.00066,8.56759846,11.954836924540281,0.395009466,0.398562824,false
WQS1409,2014-09-05T13:00:00.0,0.44,0.00066,8.56759846,8.559380283250732,0.394356413,0.398562824,false
WQS1409,2014-09-05T14:00:00.0,0.47,0.00066,8.56759846,9.766359011209126,0.39091732,0.398562824,false
WQS1409,2014-09-05T15:00:00.0,0.52,0.00066,8.56759846,11.954836924540281,0.395424347,0.398562824,false
WQS1409,2014-09-05T16:00:00.0,0.52,0.00066,8.56759846,11.954836924540281,0.393599676,0.398562824,false
WQS1409,2014-09-05T17:00:00.0,0.39,0.00066,8.56759846,6.724595770053908,0.391160498,0.398562824,false
WQS1409,2014-09-05T18:00:00.0,0.52,0.00066,8.56759846,11.954836924540281,0.39401038,0.398562824,false
WQS1409,2014-09-05T19:00:00.0,0.46,0.00066,8.56759846,9.35519043355297,0.389283059,0.398562824,false
WQS1409,2014-09-05T20:00:00.0,0.56,0.00066,8.56759846,13.86478128526565,0.389336909,0.398562824,false
WQS1409,2014-09-05T21:00:00.0,0.58,0.00066,8.56759846,14.872807475648482,0.388715195,0.398562824,false
WQS1409,2014-09-05T22:00:00.0,0.51,0.00066,8.56759846,11.499456671867332,0.393671832,0.398562824,false
WQS1409,2014-09-05T23:00:00.0,0.48,0.00066,8.56759846,10.18636992386864,0.389520144,0.398562824,false
WQS1409,2014-09-06T00:00:00.0,0.55,0.00066,8.56759846,13.37403169257927,0.392507386,0.398562824,false
WQS1409,2014-09-06T01:00:00.0,0.53,0.00066,8.56759846,12.419059512216586,0.395946096,0.398562824,false
WQS1409,2014-09-06T02:00:00.0,0.51,0.00066,8.56759846,11.499456671867332,0.388810463,0.398562824,false
WQS1409,2014-09-06T03:00:00.0,0.55,0.00066,8.56759846,13.37403169257927,0.394220674,0.398562824,false
WQS1409,2014-09-06T04:00:00.0,0.6,0.00066,8.56759846,15.91620300604475,0.39559808,0.398562824,false
WQS1409,2014-09-06T05:00:00.0,0.63,0.00066,8.56759846,17.54761381416434,0.391890804,0.398562824,false
WQS1409,2014-09-06T06:00:00.0,0.53,0.00066,8.56759846,12.419059512216586,0.394570916,0.398562824,false
WQS1409,2014-09-06T07:00:00.0,0.68,0.00066,8.56759846,20.44347852776415,0.397710908,0.398562824,false
WQS1409,2014-09-06T08:00:00.0,0.62,0.00066,8.56759846,16.99496787645445,0.396705374,0.398562824,false
WQS1409,2014-09-06T09:00:00.0,0.63,0.00066,8.56759846,17.54761381416434,0.40234871,0.398562824,false
WQS1409,2014-09-06T10:00:00.0,0.68,0.00066,8.56759846,20.44347852776415,0.404369797,0.398562824,false
WQS1409,2014-09-06T11:00:00.0,0.65,0.00066,8.56759846,18.679432694594187,0.401102556,0.398562824,false
WQS1409,2014-09-06T12:00:00.0,0.58,0.00066,8.56759846,14.872807475648482,0.406610055,0.398562824,false
WQS1409,2014-09-06T13:00:00.0,0.62,0.00066,8.56759846,16.99496787645445,0.403778237,0.398562824,false
WQS1409,2014-09-06T14:00:00.0,0.59,0.00066,8.56759846,15.390084073344935,0.402370494,0.398562824,false
WQS1409,2014-09-06T15:00:00.0,0.67,0.00066,8.56759846,19.84662091503747,0.399096305,0.398562824,false
WQS1409,2014-09-06T16:00:00.0,0.67,0.00066,8.56759846,19.84662091503747,0.400733119,0.398562824,false
WQS1409,2014-09-06T17:00:00.0,0.64,0.00066,8.56759846,18.109102086877584,0.397639668,0.398562824,false
WQS1409,2014-09-06T18:00:00.0,0.75,0.00066,8.56759846,24.869067196944922,0.405942537,0.398562824,false
WQS1409,2014-09-06T19:00:00.0,0.79,0.00066,8.56759846,27.59250637797925,0.400477866,0.398562824,false
WQS1409,2014-09-06T20:00:00.0,0.7,0.00066,8.56759846,21.663720758227573,0.400579547,0.398562824,false
WQS1409,2014-09-06T21:00:00.0,0.73,0.00066,8.56759846,23.560401616447905,0.395083565,0.398562824,false
WQS1409,2014-09-06T22:00:00.0,0.82,0.00066,8.56759846,29.727930281290245,0.392493595,0.398562824,false
WQS1409,2014-09-06T23:00:00.0,0.8,0.00066,8.56759846,28.295472010746227,0.393588812,0.398562824,false
WQS1409,2014-09-07T00:00:00.0,0.75,0.00066,8.56759846,24.869067196944922,0.392624927,0.398562824,false
WQS1409,2014-09-07T01:00:00.0,0.81,0.00066,8.56759846,29.007279978516564,0.396341571,0.398562824,false
WQS1409,2014-09-07T02:00:00.0,0.8,0.00066,8.56759846,28.295472010746227,0.393138057,0.398562824,false
WQS1409,2014-09-07T03:00:00.0,0.81,0.00066,8.56759846,29.007279978516564,0.384431036,0.398562824,false
WQS1409,2014-09-07T04:00:00.0,0.88,0.00066,8.56759846,34.23752113300293,0.386946883,0.398562824,false
WQS1409,2014-09-07T05:00:00.0,0.76,0.00066,8.56759846,25.536663489698466,0.378058661,0.398562824,false
WQS1409,2014-09-07T06:00:00.0,0.91,0.00066,8.56759846,36.61168808140461,0.358328319,0.398562824,false
WQS1409,2014-09-07T07:00:00.0,0.6,0.00066,8.56759846,15.91620300604475,0.347932627,0.398562824,false
WQS1409,2014-09-07T08:00:00.0,0.68,0.00066,8.56759846,20.44347852776415,0.342597564,0.398562824,false
WQS1409,2014-09-07T09:00:00.0,0.65,0.00066,8.56759846,18.679432694594187,0.338007323,0.398562824,false
WQS1409,2014-09-07T10:00:00.0,0.6,0.00066,8.56759846,15.91620300604475,0.327051597,0.398562824,false
WQS1409,2014-09-07T11:00:00.0,0.49,0.00066,8.56759846,10.615223171531511,0.320580585,0.398562824,false
WQS1409,2014-09-07T12:00:00.0,0.6,0.00066,8.56759846,15.91620300604475,0.317774208,0.398562824,false
WQS1409,2014-09-07T13:00:00.0,0.61,0.00066,8.56759846,16.45116427374792,0.327350664,0.398562824,false
WQS1409,2014-09-07T14:00:00.0,0.75,0.00066,8.56759846,24.869067196944922,0.326853622,0.398562824,false
WQS1409,2014-09-07T15:00:00.0,0.94,0.00066,8.56759846,39.0654360448365,0.315225137,0.23997769000000002,true
WQS1409,2014-09-07T16:00:00.0,0.97,0.00066,8.56759846,41.598765023298625,0.307037244,0.23997769000000002,false
WQS1409,2014-09-07T17:00:00.0,0.96,0.00066,8.56759846,40.74547969547456,0.262605189,0.23997769000000002,false
WQS1409,2014-09-07T18:00:00.0,1.13,0.00066,8.56759846,56.45388782894038,0.21563893400000003,0.23997769000000002,false
WQS1409,2014-09-07T19:00:00.0,1.13,0.00066,8.56759846,56.45388782894038,0.201199669,0.23997769000000002,false
WQS1409,2014-09-07T20:00:00.0,1.04,0.00066,8.56759846,47.819347698161124,0.197884341,0.23997769000000002,false
WQS1409,2014-09-07T21:00:00.0,0.84,0.00066,8.56759846,31.195757891847705,0.204725041,0.23997769000000002,false
WQS1409,2014-09-07T22:00:00.0,1.06,0.00066,8.56759846,49.676238048866345,0.211894133,0.23997769000000002,false
WQS1409,2014-09-07T23:00:00.0,1.01,0.00066,8.56759846,45.10032968462847,0.21593342299999999,0.23997769000000002,false
WQS1409,2014-09-08T00:00:00.0,0.89,0.00066,8.56759846,35.02006778080013,0.221997144,0.23997769000000002,false
WQS1409,2014-09-08T01:00:00.0,0.85,0.00066,8.56759846,31.942935199631474,0.227193977,0.23997769000000002,false
WQS1409,2014-09-08T02:00:00.0,0.86,0.00066,8.56759846,32.6989548424186,0.229930072,0.23997769000000002,false
WQS1409,2014-09-08T03:00:00.0,0.84,0.00066,8.56759846,31.195757891847705,0.231112715,0.23997769000000002,false
WQS1409,2014-09-08T04:00:00.0,0.85,0.00066,8.56759846,31.942935199631474,0.236336994,0.23997769000000002,false
WQS1409,2014-09-08T05:00:00.0,0.75,0.00066,8.56759846,24.869067196944922,0.237360216,0.23997769000000002,false
WQS1409,2014-09-08T06:00:00.0,0.85,0.00066,8.56759846,31.942935199631474,0.237170102,0.23997769000000002,false
WQS1409,2014-09-08T07:00:00.0,0.72,0.00066,8.56759846,22.91933232870444,0.235188018,0.23997769000000002,false
WQS1409,2014-09-08T08:00:00.0,0.76,0.00066,8.56759846,25.536663489698466,0.233197281,0.23997769000000002,false
WQS1409,2014-09-08T09:00:00.0,0.98,0.00066,8.56759846,42.460892686126044,0.235779706,0.23997769000000002,false
WQS1409,2014-09-08T10:00:00.0,1.14,0.00066,8.56759846,57.45749285182154,0.242595164,0.23997769000000002,false
WQS1409,2014-09-08T11:00:00.0,1.39,0.00066,8.56759846,85.42137729994182,0.24626457,0.23997769000000002,false
WQS1409,2014-09-08T12:00:00.0,1.49,0.00066,8.56759846,98.15433970477764,0.256543788,0.23997769000000002,false
WQS1409,2014-09-08T13:00:00.0,1.85,0.00066,8.56759846,151.31445774496711,0.282373621,0.23997769000000002,false
WQS1409,2014-09-08T14:00:00.0,1.5,0.00066,8.56759846,99.47626878777969,0.314011816,0.23997769000000002,false
WQS1409,2014-09-08T15:00:00.0,1.38,0.00066,8.56759846,84.19671390197671,0.333606663,0.23997769000000002,false
WQS1409,2014-09-08T16:00:00.0,1.57,0.00066,8.56759846,108.97735774888807,0.357514379,0.23997769000000002,false
WQS1409,2014-09-08T17:00:00.0,1.56,0.00066,8.56759846,107.59353232086252,0.373554925,0.23997769000000002,false
WQS1409,2014-09-08T18:00:00.0,1.59,0.00066,8.56759846,111.77153560994927,0.380121234,0.23997769000000002,false
WQS1409,2014-09-08T19:00:00.0,1.39,0.00066,8.56759846,85.42137729994182,0.309660352,0.23997769000000002,false
WQS1409,2014-09-08T20:00:00.0,1.41,0.00066,8.56759846,87.89723110088212,0.252838056,0.23997769000000002,false
WQS1409,2014-09-08T21:00:00.0,1.39,0.00066,8.56759846,85.42137729994182,0.336108645,0.23997769000000002,false
WQS1409,2014-09-08T22:00:00.0,1.77,0.00066,8.56759846,138.51075666010445,0.387936135,0.23997769000000002,false
WQS1409,2014-09-08T23:00:00.0,1.64,0.00066,8.56759846,118.91172112516098,0.486821821,0.589317008,true
WQS1409,2014-09-09T00:00:00.0,1.51,0.00066,8.56759846,100.8070402057851,0.507719483,0.589317008,false
WQS1409,2014-09-09T01:00:00.0,1.65,0.00066,8.56759846,120.3662852332134,0.503003796,0.589317008,false
WQS1409,2014-09-09T02:00:00.0,1.86,0.00066,8.56759846,152.95471088809006,0.498865155,0.589317008,false
WQS1409,2014-09-09T03:00:00.0,1.9,0.00066,8.56759846,159.6041468106154,0.544905767,0.589317008,false
WQS1409,2014-09-09T04:00:00.0,1.52,0.00066,8.56759846,102.14665395879386,0.55960591,0.589317008,false
WQS1409,2014-09-09T05:00:00.0,1.54,0.00066,8.56759846,104.85240846982147,0.548915996,0.589317008,false
WQS1409,2014-09-09T06:00:00.0,1.68,0.00066,8.56759846,124.78303156739082,0.536494713,0.589317008,false
WQS1409,2014-09-09T07:00:00.0,1.65,0.00066,8.56759846,120.3662852332134,0.496968244,0.589317008,false
WQS1409,2014-09-09T08:00:00.0,1.47,0.00066,8.56759846,95.5370085437836,0.494387299,0.589317008,false
WQS1409,2014-09-09T09:00:00.0,1.68,0.00066,8.56759846,124.78303156739082,0.539960736,0.589317008,false
WQS1409,2014-09-09T10:00:00.0,1.85,0.00066,8.56759846,151.31445774496711,0.559235546,0.589317008,false
WQS1409,2014-09-09T11:00:00.0,1.88,0.00066,8.56759846,156.261744179346,0.609350183,0.589317008,false
WQS1409,2014-09-09T12:00:00.0,1.71,0.00066,8.56759846,129.27935891659848,0.628275852,0.589317008,false
WQS1409,2014-09-09T13:00:00.0,1.54,0.00066,8.56759846,104.85240846982147,0.642405357,0.589317008,false
WQS1409,2014-09-09T14:00:00.0,1.63,0.00066,8.56759846,117.46599935211192,0.652780754,0.589317008,false
WQS1409,2014-09-09T15:00:00.0,1.7,0.00066,8.56759846,127.7717407985259,0.647497418,0.589317008,false
WQS1409,2014-09-09T16:00:00.0,1.55,0.00066,8.56759846,106.21854922784033,0.625200541,0.589317008,false
WQS1409,2014-09-09T17:00:00.0,1.62,0.00066,8.56759846,116.02911991406626,0.588458535,0.589317008,false
WQS1409,2014-09-09T18:00:00.0,1.88,0.00066,8.56759846,156.261744179346,0.560624569,0.589317008,false
WQS1409,2014-09-09T19:00:00.0,1.63,0.00066,8.56759846,117.46599935211192,0.469264253,0.589317008,false
WQS1409,2014-09-09T20:00:00.0,1.77,0.00066,8.56759846,138.51075666010445,0.419395595,0.589317008,false
WQS1409,2014-09-09T21:00:00.0,1.73,0.00066,8.56759846,132.3211221577537,0.504589064,0.589317008,false
WQS1409,2014-09-09T22:00:00.0,1.79,0.00066,8.56759846,141.65862792129994,0.511227251,0.589317008,false
WQS1409,2014-09-09T23:00:00.0,1.92,0.00066,8.56759846,162.98191878189823,0.564546219,0.589317008,false
WQS1409,2014-09-10T00:00:00.0,1.75,0.00066,8.56759846,135.39825473892236,0.603879414,0.589317008,false
WQS1409,2014-09-10T01:00:00.0,1.66,0.00066,8.56759846,121.82969167626919,0.60799026,0.589317008,false
WQS1409,2014-09-10T02:00:00.0,1.53,0.00066,8.56759846,103.49511004680599,0.609642951,0.589317008,false
WQS1409,2014-09-10T03:00:00.0,1.67,0.00066,8.56759846,123.30194045432835,0.608833732,0.589317008,false
WQS1409,2014-09-10T04:00:00.0,1.69,0.00066,8.56759846,126.27296501545668,0.589317008,0.589317008,false
WQS1409,2014-09-10T05:00:00.0,1.51,0.00066,8.56759846,100.8070402057851,0.539428051,0.589317008,false
WQS1409,2014-09-10T06:00:00.0,1.49,0.00066,8.56759846,98.15433970477764,0.475404404,0.589317008,false
WQS1409,2014-09-10T07:00:00.0,1.32,0.00066,8.56759846,77.0344225492566,0.406299664,0.589317008,false
WQS1409,2014-09-10T08:00:00.0,1.63,0.00066,8.56759846,117.46599935211192,0.368453669,0.589317008,false
WQS1409,2014-09-10T09:00:00.0,1.43,0.00066,8.56759846,90.40845424183584,0.424403896,0.589317008,false
WQS1409,2014-09-10T10:00:00.0,1.43,0.00066,8.56759846,90.40845424183584,0.536174219,0.589317008,false
WQS1409,2014-09-10T11:00:00.0,1.64,0.00066,8.56759846,118.91172112516098,0.574783978,0.589317008,false
WQS1409,2014-09-10T12:00:00.0,1.72,0.00066,8.56759846,130.7958193696744,0.588297686,0.589317008,false
WQS1409,2014-09-10T13:00:00.0,1.6,0.00066,8.56759846,113.18188804298491,0.590183115,0.589317008,false
WQS1409,2014-09-10T14:00:00.0,1.56,0.00066,8.56759846,107.59353232086252,0.605857824,0.589317008,false
WQS1409,2014-09-10T15:00:00.0,1.6,0.00066,8.56759846,113.18188804298491,0.613553098,0.589317008,false
WQS1409,2014-09-10T16:00:00.0,1.57,0.00066,8.56759846,108.97735774888807,0.61547013,0.589317008,false
